"ID","Status","Comment"
"tm-extend","fail","data/links/0/rel must be equal to constant, data/links/1/rel must be equal to constant, data/links/2/rel must be equal to constant, data/links/3/rel must be equal to constant, data/links/4/rel must be equal to constant, data/links/5/rel must be equal to constant, data/links/6/rel must be equal to constant, data/links must contain at least 1 valid item(s)"
"tm-identification","pass",""
"tm-placeholder","not-impl",""
"tm-placeholder-value","pass",""
"tm-td-generation-inconsistencies","pass",""
"tm-tmRef-1","pass",""
"tm-tmRequired","not-impl","data must have required property 'tm:required'"
"tm-tmRequired-JSONPointer","not-impl","data must have required property 'tm:required'"
"tm-tmRequired-array","not-impl","data must have required property 'tm:required'"
"bindings-requirements-scheme","pass",""
"bindings-server-accept","pass",""
"client-data-schema","null",""
"client-data-schema-accept-extras","null",""
"client-data-schema-no-extras","null",""
"client-uri-template","null",""
"iana-security-alter","null",""
"iana-security-execution","null",""
"iana-security-expansion","null",""
"iana-security-remote","null",""
"sec-body-name-json-pointer-creatable","null",""
"server-data-schema","pass",""
"server-data-schema-extras","not-impl",""
"server-uri-template","pass",""
"td-context-default-language-direction-heuristic","null",""
"td-context-default-language-direction-independence","null",""
"td-context-default-language-direction-inference","null",""
"td-context-ns-multilanguage-text-direction-infer","null",""
"td-default-AdditionalResponseContentType","null",""
"td-default-alg","null",""
"td-default-contentType","null",""
"td-default-format","null",""
"td-default-format-pop","null",""
"td-default-http-method","null","a child is not tested"
"td-default-http-method_get","null",""
"td-default-http-method_post","null",""
"td-default-http-method_put","null",""
"td-default-idempotent","null",""
"td-default-in-apikey","null",""
"td-default-in-basic","null",""
"td-default-in-bearer","null",""
"td-default-in-digest","null",""
"td-default-observable","null",""
"td-default-op-actions","null",""
"td-default-op-events","null",""
"td-default-op-properties","null",""
"td-default-qop","null",""
"td-default-readOnly","null",""
"td-default-safe","null",""
"td-default-success","null",""
"td-default-writeOnly","null",""
"td-expectedResponse-contentType","null",""
"td-expectedResponse-default-contentType","null",""
"td-format-validation-other-values","null",""
"td-form-protocolbindings","pass",""
"td-json-open","pass","all children passed"
"td-json-open_accept-byte-order","pass",""
"td-json-open_no-byte-order","pass",""
"td-ns-multilanguage-content-negotiation","not-impl",""
"td-ns-multilanguage-content-negotiation-no-multi","not-impl",""
"td-ns-multilanguage-content-negotiation-optional","not-impl",""
"td-processor-serialization","null",""
"td-security-binding","pass",""
"td-security-in-query-over-uri","not-impl",""
"td-security-no-extras","pass",""
"td-security-no-secrets","pass",""
"td-vocabulary-defaults","null",""
"tm-overwrite-interaction","pass",""
"tm-overwrite-types","pass",""
"tm-placeholder-retyping","pass",""
"tm-tmRef-2","pass",""
"tm-tmRef-overwrite","pass",""
"tm-tmRef-overwrite-semantic-meaning","pass",""
"well-known-operation-types-only","pass",""
