ID,Status
bindings-requirements-scheme,pass
bindings-server-accept,pass
client-data-schema,pass
client-data-schema-accept-extras,pass
client-data-schema-no-extras,pass
client-uri-template,pass
iana-security-alter,not-impl
iana-security-execution,pass
iana-security-expansion,null
iana-security-remote,not-impl
processors-preserve-array-order,pass
processors-preserve-prefixes-1,pass
processors-preserve-prefixes-2,pass
sec-body-name-json-pointer-creatable,not-impl
server-data-schema,pass
server-data-schema-extras,pass
server-uri-template,pass
td-context-default-language-direction-independence,not-impl
td-default-AdditionalResponseContentType,pass
td-default-alg,pass
td-default-alg-pop,null
td-default-contentType,pass
td-default-format,pass
td-default-http-method,pass
td-default-http-method_get,pass
td-default-http-method_post,pass
td-default-http-method_put,pass
td-default-idempotent,not-impl
td-default-in-apikey,not-impl
td-default-in-basic,pass
td-default-in-bearer,pass
td-default-in-digest,not-impl
td-default-in-pop,null
td-default-observable,pass
td-default-op-actions,pass
td-default-op-events,pass
td-default-op-properties,null
td-default-qop,not-impl
td-default-readOnly,pass
td-default-safe,not-impl
td-default-success,not-impl
td-default-writeOnly,not-impl
td-expectedResponse-contentType,null
td-expectedResponse-default-contentType,null
td-format-validation-other-values,pass
td-form-protocolbindings,pass
td-json-open,pass
td-json-open_accept-byte-order,pass
td-json-open_no-byte-order,pass
td-model-tmRef-2,null
td-model-tmRef-overwrite,null
td-ns-multilanguage-content-negotiation,not-impl
td-ns-multilanguage-content-negotiation-no-multi,not-impl
td-ns-multilanguage-content-negotiation-optional,not-impl
td-processor-serialization,pass
td-security-binding,pass
td-security-in-query-over-uri,not-impl
td-security-no-extras,pass
td-security-no-secrets,pass
td-vocabulary-defaults,pass
tm-overwrite-interaction,not-impl
tm-overwrite-types,not-impl
tm-placeholder-retyping,not-impl
tm-tmRef2,not-impl
tm-tmRef-overwrite,not-impl
tm-tmRef-overwrite-semantic-meaning,not-impl
well-known-operation-types-only,pass
